STATE|STATEFP|COUNTYFP|COUNTYNS|COUNTYNAME|CLASSFP|FUNCSTAT
TX|48|287|1383929|Lee County|H1|A
TX|48|289|1383930|Leon County|H1|A
TX|48|291|1383931|Liberty County|H1|A
TX|48|293|1383932|Limestone County|H1|A
TX|48|295|1383933|Lipscomb County|H1|A
TX|48|297|1383934|Live Oak County|H1|A
TX|48|299|1383935|Llano County|H1|A
TX|48|301|1383936|Loving County|H1|A
TX|48|303|1383937|Lubbock County|H1|A
TX|48|305|1383938|Lynn County|H1|A
TX|48|307|1383945|McCulloch County|H1|A
TX|48|309|1383946|McLennan County|H1|A
TX|48|311|1383947|McMullen County|H1|A
TX|48|313|1383939|Madison County|H1|A
TX|48|315|1383940|Marion County|H1|A
TX|48|317|1383941|Martin County|H1|A
TX|48|319|1383942|Mason County|H1|A
TX|48|321|1383943|Matagorda County|H1|A
TX|48|323|1383944|Maverick County|H1|A
TX|48|325|1383948|Medina County|H1|A
TX|48|327|1383949|Menard County|H1|A
TX|48|329|1383950|Midland County|H1|A
TX|48|331|1383951|Milam County|H1|A
TX|48|333|1383952|Mills County|H1|A
TX|48|335|1383953|Mitchell County|H1|A
TX|48|337|1383954|Montague County|H1|A
TX|48|339|1383955|Montgomery County|H1|A
TX|48|341|1383956|Moore County|H1|A
TX|48|343|1383957|Morris County|H1|A
TX|48|345|1383958|Motley County|H1|A
TX|48|347|1383959|Nacogdoches County|H1|A
TX|48|349|1383960|Navarro County|H1|A
TX|48|351|1383961|Newton County|H1|A
TX|48|353|1383962|Nolan County|H1|A
TX|48|355|1383963|Nueces County|H1|A
TX|48|357|1383964|Ochiltree County|H1|A
TX|48|359|1383965|Oldham County|H1|A
TX|48|361|1383966|Orange County|H1|A
TX|48|363|1383967|Palo Pinto County|H1|A
TX|48|365|1383968|Panola County|H1|A
TX|48|367|1383969|Parker County|H1|A
TX|48|369|1383970|Parmer County|H1|A
TX|48|371|1383971|Pecos County|H1|A
TX|48|373|1383972|Polk County|H1|A
TX|48|375|1383973|Potter County|H1|A
TX|48|377|1383974|Presidio County|H1|A
TX|48|379|1383975|Rains County|H1|A
TX|48|381|1383976|Randall County|H1|A
TX|48|383|1383977|Reagan County|H1|A
TX|48|385|1383978|Real County|H1|A
TX|48|387|1383979|Red River County|H1|A
TX|48|389|1383980|Reeves County|H1|A
TX|48|391|1383981|Refugio County|H1|A
TX|48|393|1383982|Roberts County|H1|A
TX|48|395|1383983|Robertson County|H1|A
TX|48|397|1383984|Rockwall County|H1|A
TX|48|399|1383985|Runnels County|H1|A
TX|48|401|1383986|Rusk County|H1|A
TX|48|403|1383987|Sabine County|H1|A
TX|48|405|1383988|San Augustine County|H1|A
TX|48|407|1383989|San Jacinto County|H1|A
